FONTE,TIPO,ID_LATTES,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO,Um Estudo sobre a Paralelização do Algoritmo Mergesort in-place,2013,Português,"Anais do V Salão Internacional de Ensino, Pesquisa e Extensão",Bagé - RS,2013,"['MORO, G. and', 'Márcia cera and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO,Paralelização do algoritmo de ordenação Merge Sort In Place,2012,Português,"Anais do IV Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE)",Bagé - RS,2012,"['GARCIA, A. M. and', 'Márcia cera and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,OntoQAI: An Ontology to Support Quality Assurance Inspections,2015,Português,2015 29th Brazilian Symposium on Software Engineering,Belo Horizonte,2015,"['SILVA, J. P. S. and', 'DALLOGLIO, P. and', 'PINTO, S. C. C. S. and', 'BITTENCOURT, I. I. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Ambiente Colaborativo para Identificação de Espécies,2015,Português,XIII Simpósio de Informática - Centro Universitário Franciscano,Santa Maria,2015,"['FRANZIN, F. P. and', 'PERIPOLLI, G. S. and', 'CARDOSO, P. V. M. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Compressão de Arquivos Orientados a Colunas com PPM,2016,Português,XII ESCOLA REGIONAL DE BANCO DE DADOS,Londrina,2016,"['GARCIA, V. F. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO_EXPANDIDO,Usando Tabelas de Dispersão com PPM,2016,Português,XVI Escola Regional de Alto Desempenho do Estado do Rio Grande do Sul,São Leopoldo,2016,"['GARCIA, V. F. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Using Active Mediators and Passive Extractors Inside Materialized Data Integration Systems,2016,Português,XXXVI Congresso da Sociedade Brasileira de Computação,Porto Alegre - RS,2016,"['CARDOSO, P. V. M. and', 'FRANZIN, F. P. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO_EXPANDIDO,Busca por similaridade em índice invertido utilizando o paradigma Map-Reduce,2016,Português,Anais do VII Encontro Anual de Tecnologia da Informação - EATI,Frederico Westphalen,2016,"['CARDOSO, P. V. M. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO,Arquitetura de Extração de Dados do BioID,2016,Português,Anais da XXXI Jornada Acadêmica Integrada ­- JAI,Santa Maria,2016,"['CARDOSO, P. V. M. and', 'FRANZIN, F. P. and', 'PERIPOLLI, G. S. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO,Ambiente Colaborativo para Identificação de Espécies,2015,Português,Aianda da XXX Jornada Acadêmica Integrada - JAI,Santa Maria,2015,"['PERIPOLLI, G. S. and', 'CARDOSO, P. V. M. and', 'FRANZIN, F. P. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Busca por similaridade em índice invertido utilizando o framework Hadoop Map-Reduce,2017,Português,Anais do VIII Computer on the Beach,Florianópolis,2017,"['CARDOSO, P. V. M. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,RESUMO_EXPANDIDO,Análise de ferramentas que implementam o paradigma MapReduce em um problema de Recuperação de Informação,2017,Português,Anais da XVII Escola Regional de Alto Desempenho do Estado do Rio Grande do Sul,Ijuí,2017,"['CARDOSO, P. V. M. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,The Other C: Correcting OCR Words in the Presence of Diacritical Marks,2018,Português,Computational Processing of the Portuguese Language,Canela,2018,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'SCHMIDT, L. A. and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Comparação entre MySQL e Neo4J para o Acesso a Dados Complexos Usando Linguagens Declarativas,2018,Português,Anais da XIV Escola Regional de Banco de Dados - ERBD : recuperação de informações,Rio Grande,2018,"['HOMRICH, E. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Comparação entre Diferentes Implementações de BK-trees para o Problema de Busca por Intervalo,2018,Português,Anais da XIV Escola Regional de Banco de Dados - ERBD : recuperação de informações,Rio Grande,2018,"['RAKOWSKI, A. L. and', 'BERWALDT, N. L. P. and', 'SCHMAEDECK, M. V. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Análise da Popularidade de Tuítes com Base em Características Extraídas de seu Conteúdo,2018,Português,Anais da XIV Escola Regional de Banco de Dados - ERBD : recuperação de informações,Rio Grande,2018,"['OLIVEIRA, L. L. and', 'MERGEN, S. L. S.;MERGEN, SERGIO L S and']"
LATTES,TRAB.EVENTO,0718830701479001,Sergio Luis Sardi Mergen,COMPLETO,Utilizando o Modelo de Atração para Representar Casadores de Esquema,2007,Português,Anaix III Escola Regional de Banco de Dados - ERBD 2007,Caxias do Sul,2007,"['MERGEN, S. L. S.;MERGEN, SERGIO L S and', 'HEUSER, C. A. and']"
