FONTE,TIPO,ID,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES,NATUREZA,EDITORA
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1002/cpe.1786,Many Task Computing for Orthologous Genes Identification in Protozoan Genomes Using Hydra,2011,Inglês,Concurrency and Computation,SEM_DADOS,SEM_DADOS,"['COUTINHO, F. and', 'OGASAWARA, E. and', 'OLIVEIRA, D. and', 'BRAGANHOLO, V. and', 'LIMA, A. A. B. and', 'DAVILA, A. M. R. and', 'MATTOSO, M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1002/cpe.1880,An Adaptive Parallel Execution Strategy for Cloud-based Scientific Workflows,2012,Inglês,Concurrency and Computation,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, D. and', 'OGASAWARA, E. and', 'OCAÑA, K. and', 'BAIAO, F. and', 'MATTOSO, M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1615/Int.J.UncertaintyQuantification.v2.i1.50,Uncertainty Quantification in Computational Predictive Models for Fluid Dynamics Using Workflow Management Engine,2012,Inglês,International Journal for Uncertainty Quantification,SEM_DADOS,SEM_DADOS,"['GUERRA, G. and', 'ROCHINHA, F. and', 'ELIAS, R. and', 'OLIVEIRA, D. and', 'OGASAWARA, E. and', 'DIAS, J. and', 'MATTOSO, M. and', 'COUTINHO, A. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,,An Algebraic Approach for Data-Centric Scientific Workflows,2011,Inglês,Proceedings of the VLDB Endowment,SEM_DADOS,SEM_DADOS,"['OGASAWARA, E. and', 'DIAS, J. and', 'OLIVEIRA, D. and', 'PORTO, F. and', 'VALDURIEZ, P. and', 'MATTOSO, M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,,Ontology-based Semi-automatic Workflow Composition,2012,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, D. and', 'OGASAWARA, E. and', 'DIAS, J. and', 'BAIAO, F. and', 'MATTOSO, M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1007/s10723-012-9227-2,A Provenance-based Adaptive Scheduling Heuristic for Parallel Scientific Workflows in Clouds,2012,Inglês,Journal of Grid Computing,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, D. and', 'OCAÑA, K. and', 'BAIAO, F. and', 'MATTOSO, M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2012.12.019,Performance evaluation of parallel strategies in public clouds: A study with phylogenomic workflows,2013,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, D. and', 'OCAÑA, K. and', 'OGASAWARA, E. and', 'DIAS, J. and', 'GONCALVES, J. and', 'BAIAO, F. and', 'MATTOSO, M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2013.04.005,Designing a parallel cloud based comparative genomics workflow to improve phylogenetic analyses,2013,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['OCAÑA, K. and', 'OLIVEIRA, D. and', 'DIAS, J. and', 'OGASAWARA, E. and', 'MATTOSO, M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,,Performance Analysis of Data Filtering in Scientific Workflows,2013,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['GONCALVES, J. and', 'OLIVEIRA, D. and', 'OCAÑA, K. and', 'OGASAWARA, E. and', 'DIAS, J. and', 'MATTOSO, M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.5335/rbca.2013.3270,Construção de ambiente para desenvolvimento de jogos educacionais baseados em interface de gestos,2013,Português,Revista Brasileira de Computação Aplicada,SEM_DADOS,SEM_DADOS,"['QUADROS, J. and', 'CASTANEDA, R. and', 'AMORIM, M. and', 'HERZOG, G. and', 'CARNEIRO, L. and', 'MENEZES, K. and', 'PINHEIRO, M. and', 'OLIVEIRA, D. and', 'OGASAWARA, E. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,,Experiencing Affective Agents in Simulation Games,2013,Português,Revista de Informática Aplicada,SEM_DADOS,SEM_DADOS,"['SALES, R. and', 'CLUA, E. and', 'PAES, A. and', 'OLIVEIRA, D. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.3991/ijes.v2i3.3818,Towards a UML-based Reference Model for Blended Learning,2014,Inglês,"International Journal of Recent Contributions from Engineering, Science &amp;amp; IT (iJES)",SEM_DADOS,SEM_DADOS,"['QUADROS, J. and', 'OLIVEIRA, D. and', 'QUEIROZ, A. and', 'OGASAWARA, E. and', 'SCHOCAIR, C. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1002/cpe.3032,Chiron: a parallel engine for algebraic scientific workflows,2013,Inglês,Concurrency and Computation,SEM_DADOS,SEM_DADOS,"['OGASAWARA, E. and', 'DIAS, J. and', 'SILVA, V. and', 'CHIRIGATI, F. and', 'DE OLIVEIRA, DANIEL and', 'PORTO, F. and', 'VALDURIEZ, P. and', 'MATTOSO, M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2014.10.009,Optimizing virtual machine allocation for parallel scientific workflows in federated clouds,2015,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['COUTINHO, R. and', 'DRUMMOND, L. M. A. and', 'FROTA, Y. and', 'OLIVEIRA, D. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2014.11.017,Dynamic steering of HPC scientific workflows: A survey,2015,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['MATTOSO, M. and', 'DIAS, J. and', 'OCAÑA, K. and', 'OGASAWARA, E. and', 'COSTA, F. and', 'HORTA, F. and', 'SILVA, V. and', 'DE OLIVEIRA, DANIEL and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.2147/aabc.s64482,Parallel computing in genomic research: advances and applications,2015,Inglês,Advances and Applications in Bioinformatics and Chemistry,SEM_DADOS,SEM_DADOS,"['OCAÑA, K. and', 'OLIVEIRA, D. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,,Running Multi-relational Data Mining Processes in the Cloud: a Practical Approach for Social Networks,2015,Inglês,Communications in Computer and Information Science (Print),SEM_DADOS,SEM_DADOS,"['PAES, A. and', 'OLIVEIRA, D. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2016.04.014,Multi-objective scheduling of Scientific Workflows in multisite clouds,2016,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['LIU, J. and', 'PACITTI, E. and', 'VALDURIEZ, P. and', 'MATTOSO, M. and', 'OLIVEIRA, D. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1007/s10723-016-9367-x,A Dynamic Cloud Dimensioning Approach for Parallel Scientific Workflows: a Case Study in the Comparative Genomics Domain,2016,Português,Journal of Grid Computing,SEM_DADOS,SEM_DADOS,"['COUTINHO, RAFAELLI and', 'FROTA, YURI and', 'OCAÑA, KARY and', 'OLIVEIRA, DANIEL DE and', 'A. DRUMMOND, LÚCIA M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1002/cpe.3616,Analyzing related raw data files through dataflows,2016,Inglês,Concurrency and Computation,SEM_DADOS,SEM_DADOS,"['SILVA, VÍTOR and', 'DE OLIVEIRA, DANIEL and', 'VALDURIEZ, PATRICK and', 'MATTOSO, MARTA and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2016.08.016,Deriving scientific workflows from algebraic experiment lines: A practical approach,2017,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['MARINHO, ANDERSON and', 'DE OLIVEIRA, DANIEL and', 'OGASAWARA, EDUARDO and', 'SILVA, VITOR and', 'OCAÑA, KARY and', 'MURTA, LEONARDO and', 'BRAGANHOLO, VANESSA and', 'MATTOSO, MARTA and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2017.01.016,Raw data queries during data-intensive parallel workflow execution,2017,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['SILVA, VÍTOR and', 'LEITE, JOSÉ and', 'CAMATA, JOSÉ J. and', 'DE OLIVEIRA, DANIEL and', 'COUTINHO, ALVARO L.G.A. and', 'VALDURIEZ, PATRICK and', 'MATTOSO, MARTA and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.entcom.2016.12.002,Oh Gosh!! Why is this game so Hard? Identifying Cycle Patterns in 2D Platform Games Using Provenance Data,2017,Inglês,Entertainment Computing,SEM_DADOS,SEM_DADOS,"['DE OLIVEIRA, DANIEL and', 'JACOB, LIDSON and', 'CLUA, ESTEBAN and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1145/3053372,Managing Provenance of Implicit Data Flows in Scientific Experiments,2017,Inglês,ACM Transactions on Internet Technology,SEM_DADOS,SEM_DADOS,"['NEVES, V. and', 'OCAÑA, K. and', 'OLIVEIRA, D. and', 'MURTA, L. and', 'BRAGANHOLO, V. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,,Querying Provenance along with Domain Data Using Prolog,2017,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, W. and', 'OCAÑA, K. and', 'OLIVEIRA, D. and', 'BRAGANHOLO, V. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2017.05.017,A hybrid evolutionary algorithm for task scheduling and data assignment of data-intensive scientific workflows on clouds,2017,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['TEYLO, L. and', 'PAULA JUNIOR, U. and', 'FROTA, Y. and', 'OLIVEIRA, D. and', 'DRUMMOND, L. M. A. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1145/3184900,Provenance Analytics for Workflow-Based Computational Experiments,2018,Inglês,ACM COMPUTING SURVEYS,SEM_DADOS,SEM_DADOS,"['OLIVEIRA, W. and', 'OLIVEIRA, D. and', 'BRAGANHOLO, V. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.14778/3229863.3236265,Dfanalyzer,2018,Inglês,Proceedings of the VLDB Endowment,SEM_DADOS,SEM_DADOS,"['SILVA, V. and', 'OLIVEIRA, D. and', 'VALDURIEZ, P. and', 'MATTOSO, M. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,,Beyond hit-or-miss: a comparative study of synopses for similarity searching,2018,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['BEDO, M. V. N. and', 'OLIVEIRA, D. and', 'TRAINA, A. and', 'TRAINA, C. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,,Towards an Empirical Evaluation of Scientific Data Indexing and Querying,2018,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['GUEDES, T. and', 'SILVA, V. and', 'CAMATA, J. and', 'BEDO, M. V. N. and', 'MATTOSO, M. and', 'OLIVEIRA, D. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2019.01.051,A Provenance-based heuristic for preserving results confidentiality in cloud-based scientific workflows,2019,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['GUERINE, M. and', 'STOCKINGER, M. B. and', 'ROSSETI, I. and', 'SIMONETTI, L. G. and', 'OCAÑA, K. and', 'PLASTINO, A. and', 'OLIVEIRA, D. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.cmpb.2019.105079,A superpixel-driven deep learning approach for the analysis of dermatological wounds,2020,Inglês,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,SEM_DADOS,SEM_DADOS,"['BLANCO, G. and', 'AZEVEDO-MARQUES, PAULO M. and', 'TRAINA, C. and', 'TRAINA, A. and', 'JORGE, ANA E. S. and', 'OLIVEIRA, D. and', 'BEDO, M. V. N. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2020.01.030,BioinfoPortal: A scientific gateway for integrating bioinformatics applications on the Brazilian national high-performance computing network,2020,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['OCAÑA, K. and', 'GALHEIGO, M. and', 'OSTHOFF, C. and', 'GADELHA, L. and', 'PORTO, F. and', 'GOMES, A. T. A. and', 'OLIVEIRA, D. and', 'VASCONCELOS, A. T. R. and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1002/cpe.5590,OLAP parallel query processing in clouds with C-ParGRES,2020,Inglês,CONCURRENCY AND COMPUTATION-PRACTICE &amp; EXPERIENCE,SEM_DADOS,SEM_DADOS,"['W. M. RIBEIRO, MARCELLO and', 'A. B. LIMA, ALEXANDRE and', 'OLIVEIRA, DANIEL and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1007/s10586-019-02920-6,Provenance-based fault tolerance technique recommendation for cloud-based scientific workflows: a practical approach,2020,Inglês,Cluster Computing-The Journal of Networks Software Tools and Applications,SEM_DADOS,SEM_DADOS,"['GUEDES, THAYLON and', 'JESUS, LEONARDO A. and', 'OCAÑA, KARY A. C. S. and', 'DRUMMOND, LUCIA M. A. and', 'DE OLIVEIRA, DANIEL and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2018.05.078,Adding domain data to code profiling tools to debug workflow parallel execution,2020,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['SILVA, VÍTOR and', 'NEVES, LEONARDO and', 'SOUZA, RENAN and', 'COUTINHO, ALVARO L.G.A. and', 'DE OLIVEIRA, DANIEL and', 'MATTOSO, MARTA and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.1016/j.future.2020.05.031,Capturing and Analyzing Provenance from Spark-based Scientific Workflows with SAMbA-RaP,2020,Inglês,Future Generation Computer Systems,SEM_DADOS,SEM_DADOS,"['GUEDES, THAYLON and', 'MARTINS, LUCAS BERTELLI and', 'FALCI, MARIA LUIZA FURTUOZO and', 'SILVA, VITOR and', 'OCAÑA, KARY A.C.S. and', 'MATTOSO, MARTA and', 'BEDO, MARCOS V.N. and', 'OLIVEIRA, DANIEL DE and']",,
LATTES,PERIODICO,743793296062293,Daniel Cardoso Moraes de Oliveira,10.4018/jaeis.2013040103,A Forecasting Method for Fertilizers Consumption in Brazil,2013,Inglês,International Journal of Agricultural and Environmental Information Systems,SEM_DADOS,SEM_DADOS,"['OGASAWARA, E. and', 'OLIVEIRA, D. and', 'PACHOAL, F. and', 'CASTANEDA, R. and', 'AMORIM, M. and', 'MAURO, R. and', 'SOARES, J. and', 'QUADROS, J. and', 'BEZERRA, E. and']",,
LATTES,PERIODICO,513694670507977,Elisa Mannes,10.1016/j.comcom.2015.04.005,Firefly-inspired and robust time synchronization for cognitive radio ad hoc networks,2015,Português,Computer Communications,SEM_DADOS,SEM_DADOS,"['LIPA, NADINE and', 'MANNES, ELISA and', 'SANTOS, ALDRI and', 'NOGUEIRA, Michele and']",,
LATTES,PERIODICO,513694670507977,Elisa Mannes,10.1145/3311888,Naming Content on the Network Layer,2019,Inglês,ACM COMPUTING SURVEYS,SEM_DADOS,SEM_DADOS,"['MANNES, ELISA and', 'MAZIERO, CARLOS and']",,
LATTES,PERIODICO,513694670507977,Elisa Mannes,,Desenvolvimento prático de uma aplicação cliente/servidor para o ensino de protocolos de comunicação,2008,Português,Revista do IST,SEM_DADOS,SEM_DADOS,"['MANNES, Elisa.;MANNES, ELISA and', 'SILVA, Eduardo da. and']",,
LATTES,PERIODICO,6771642666904396,Alex Sandro Romeo de Souza Poletto,,"O Grau de Auto-Organização existentes nos Modelos de Redes Neurais Artificiais, no processo paralelo de Informação",2000,Português,Vale (Assis),SEM_DADOS,SEM_DADOS,"['POLETTO, A. S. R. S. and']",,
LATTES,PERIODICO,6771642666904396,Alex Sandro Romeo de Souza Poletto,,Treinamento de uma Rede Neural Artificial Backpropagation para Conhecimento e Classificação de Características Animais,2001,Português,Vale (Assis),SEM_DADOS,SEM_DADOS,"['POLETTO, A. S. R. S. and']",,
LATTES,PERIODICO,8796491947184490,Giancarlo Lucca,10.1016/j.knosys.2016.12.004,CC-integrals: Choquet-like Copula-based aggregation functions and its application in fuzzy rule-based classification systems,2017,Inglês,KNOWLEDGE-BASED SYSTEMS,SEM_DADOS,SEM_DADOS,"['LUCCA, GIANCARLO and', 'Sanz, José Antonio and', 'Dimuro, Graçaliz Pereira and', 'Bedregal, Benjamín and', 'ASIAIN, MARIA JOSÉ and', 'ELKANO, MIKEL and', 'BUSTINCE, HUMBERTO and']",,
LATTES,PERIODICO,8796491947184490,Giancarlo Lucca,10.1109/tfuzz.2015.2453020,Preaggregation Functions: Construction and an Application,2016,Português,IEEE TRANSACTIONS ON FUZZY SYSTEMS,SEM_DADOS,SEM_DADOS,"['LUCCA, GIANCARLO and', 'SANZ, JOSE ANTONIO and', 'DIMURO, GRACALIZ PEREIRA and', 'BEDREGAL, BENJAMIN and', 'Mesiar, Radko and', 'KOLESAROVA, ANNA and', 'Bustince, Humberto and']",,
LATTES,PERIODICO,8796491947184490,Giancarlo Lucca,10.1007/s11047-018-9678-x,A proposal for tuning the $$alpha $$&amp;#945; parameter in $$C_{alpha }C$$C&amp;#945;C-integrals for application in fuzzy rule-based classification systems,2018,Inglês,Natural Computing,SEM_DADOS,SEM_DADOS,"['LUCCA, GIANCARLO and', 'SANZ, JOSÉ A. and', 'Dimuro, Graçaliz P. and', 'Bedregal, Benjamín and', 'BUSTINCE, HUMBERTO and']",,
LATTES,PERIODICO,8796491947184490,Giancarlo Lucca,10.1109/TFUZZ.2018.2871000,Improving the performance of fuzzy rule-based classification systems based on a non-averaging generalization of CC-integrals named &lt;formula&gt;           &lt;tex&gt;$C_{F1 F2}$&lt;/tex&gt;         &lt;/formula&gt;-integrals,2018,Português,IEEE TRANSACTIONS ON FUZZY SYSTEMS,SEM_DADOS,SEM_DADOS,"['LUCCA, GIANCARLO and', 'DIMURO, G. P. and', 'FERNÁNDEZ, J, and', 'BUSTINCE, H. and', 'BEDREGAL, B. R. C. and', 'SANZ, J. A. and']",,
LATTES,PERIODICO,8796491947184490,Giancarlo Lucca,,Generalized $C_{F_1F_2}$-integrals: from Choquet-like aggregation to ordered directionally monotone functions,2020,Inglês,FUZZY SETS AND SYSTEMS,SEM_DADOS,SEM_DADOS,"['DIMURO, G. P. and', 'LUCCA, GIANCARLO and', 'BEDREGAL, BENJAMIN and', 'MESIAR, R. and', 'SANZ, J. A. and', 'C. Lin and', 'BUSTINCE, HUMBERTO and']",,
LATTES,PERIODICO,8796491947184490,Giancarlo Lucca,,FURG Smart Games: a development enviroment to NPC decisions in games,2012,Português,INFORMATION SYSTEMS MANAGEMENT,SEM_DADOS,SEM_DADOS,"['MADSEN, C. and', 'LUCCA, Giancarlo. and', 'DANIEL, G. B. and', 'Adamatti, Diana F. and']",,
LATTES,PERIODICO,8796491947184490,Giancarlo Lucca,10.1016/j.inffus.2019.10.005,The state-of-art of the generalizations of the Choquet integral: From aggregation and pre-aggregation to ordered directionally monotone functions,2020,Inglês,Information Fusion,SEM_DADOS,SEM_DADOS,"['DIMURO, G. P. and', 'FERNANDEZ, JAVIER and', 'BEDREGAL, B. R. C. and', 'MESIAR, R. and', 'SANZ, J. A. and', 'LUCCA, Giancarlo. and', 'BUSTINCE, H. and']",,
LATTES,PERIODICO,8796491947184490,Giancarlo Lucca,,Simulating the Behaviour of Choquet-Like (pre) Aggregation Functions for Image Resizing in the Pooling Layer of Deep Learning Networks,2019,Inglês,ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING,SEM_DADOS,SEM_DADOS,"['DIAS, C. A. and', 'PALMEIRA, E. and', 'BUENO, J. C. S. and', 'BORGES, E. N. and', 'LUCCA, Giancarlo.;LUCCA, G.;LUCCA, GIANCARLO and', 'DIMURO, G. P. and', 'BUSTINCE, H. and', 'DREWS JR, P. L. J. and', 'BOTELHO, S. S. C. and', 'SANTOS, H. and']",,
LATTES,PERIODICO,8796491947184490,Giancarlo Lucca,10.1016/j.ins.2017.12.029,CF -integrals: A new family of pre-aggregation functions with application to fuzzy rule-based classification systems,2018,Inglês,INFORMATION SCIENCES,SEM_DADOS,SEM_DADOS,"['LUCCA, GIANCARLO and', 'ANTONIO SANZ, JOSÉ and', 'Dimuro, Graçaliz Pereira and', 'Bedregal, Benjamín and', 'Bustince, Humberto and', 'Mesiar, Radko and']",,
LATTES,PERIODICO,9967502924584073,Gláucio Ricardo Vivian,,Estudo e Implementação de uma Estratégia de Recomendação para um Sistema de Deliberação,2012,Português,Anais do EATI ? Encontro Anual de Tecnologia da Informação,SEM_DADOS,SEM_DADOS,"['PERSCH, Herique Michel and', 'VIT, Antônio Rodrigo Delepiane de and', 'VIVIAN, Gláucio. R. and', 'Leandro Krug Wives and']",,
LATTES,PERIODICO,9967502924584073,Gláucio Ricardo Vivian,,Segurança da Informação: Proposta de arquitetura de alta disponibilidade para aplicações web,2014,Português,Anais EATI,SEM_DADOS,SEM_DADOS,"['ANTONI, M. and', 'VIVIAN, Gláucio. R. and', 'PREUSS, E. and']",,
LATTES,PERIODICO,9967502924584073,Gláucio Ricardo Vivian,,Smart Drivers: Simulating the Benefits of Giving Twitter Information about Traffic Status,2013,Inglês,XXX Congresso da Sociedade Brasileira de Computação,SEM_DADOS,SEM_DADOS,"['BAZZAN, A. L. C. and', 'ARAUJO, P. G. and', 'GALAFASSI, C. and', 'TAVARES, A. R. and', 'VECCHIA, A. D. and', 'VIT, Antônio Rodrigo Delepiane de and', 'VIVIAN, Gláucio. R. and']",,
LATTES,PERIODICO,9967502924584073,Gláucio Ricardo Vivian,,xml2arff: Uma Ferramenta Automatizada de Extração de Dados em Arquivos XML para Data Science com Weka e R,2016,Português,Anais XII ERBD,SEM_DADOS,SEM_DADOS,"['VIVIAN, G. R. and', 'CERVI, C. R. and']",,
